,nodes,avg.rank.samples,avg.rank.bg
0.09-32-0.85,29.00,10.31, 4.98
0.07-36-0.85,32.00,14.55, 8.46
0.07-32-0.75,52.00,12.82, 9.59
0.07-32-0,58.00,16.21,10.15
0.08-28-0.55,53.00,15.06,10.71
0.16-28-0.85,22.00,11.31,12.12
0.08-32-0.4,61.00,19.96,13.35
0.06-32-0.25,60.00,17.25,14.38
0.07-44-0.85,39.00,15.75,16.35
0.09-32-0.75,56.00,21.75,17.20
