tf,es,lens,pvals,z,qvals
KLF5,0.472493011522073,20,0.2188,0.717994522983116,0.814827906976744
GATA3,0.425908786146232,40,0.2216,0.759093088513361,0.814827906976744
PPARGC1A,0.520986835094909,11,0.223,0.608371538331258,0.814827906976744
NFIL3,0.529176228809974,10,0.2246,0.600872296726978,0.814827906976744
NOTCH3,0.443191887586933,29,0.2288,0.725153983599823,0.820524137931034
SMAD1,0.421756875401904,41,0.2348,0.72686527133686,0.829371428571429
TCF4,0.444878838825978,27,0.2387,0.693657994728455,0.829371428571429
SF1,0.503885070150608,12,0.2412,0.57171130816693,0.829371428571429
NFKB1,0.349405739717478,436,0.2419,0.701127588934803,0.829371428571429
SMURF2,0.462021594780471,20,0.2457,0.644548605430628,0.829725
PML,0.453156550488006,23,0.2492,0.657456381894158,0.829725
SMAD4,0.389214869407323,79,0.2517,0.660033739333788,0.829725
NKX3-1,0.49391362374092,13,0.2553,0.553132188334308,0.829725
RBL2,0.477198528669102,16,0.2553,0.581005566215921,0.829725
WT1,0.390401393301875,75,0.2593,0.650217590170991,0.834037113402062
NPAS2,0.480166455962366,15,0.2642,0.55419949231915,0.834521212121212
KLF2,0.514457444218376,10,0.2648,0.521151805368399,0.834521212121212
DNMT3A,0.513898068535631,10,0.2743,0.511079135116786,0.8476
TWIST2,0.439654026937601,25,0.2766,0.571797888364981,0.8476
KAT2B,0.472052545188902,16,0.2771,0.531496296386065,0.8476
SP1,0.341932892304898,644,0.2858,0.558154122362979,0.85072
CEBPA,0.361835509922052,177,0.2896,0.562230766007085,0.85072
PER1,0.460445716908586,18,0.2898,0.508861813939643,0.85072
HDAC9,0.445259068140895,22,0.2918,0.526714513622835,0.85072
RELA,0.348779961628323,363,0.2926,0.534923448680002,0.85072
YY1,0.377154603318187,93,0.2959,0.521711148976341,0.85072
SPDEF,0.498956534264839,10,0.3049,0.454996639519885,0.85072
KLF8,0.521376482278021,8,0.3055,0.467322231648765,0.85072
FOXP3,0.48334211491885,12,0.3126,0.435154412401029,0.85072
EPAS1,0.412527565238267,35,0.3173,0.47487579980086,0.85072
SOX10,0.486837745045601,11,0.3187,0.429049836989401,0.85072
DDIT3,0.426055375597048,26,0.3223,0.444350357035306,0.85072
ETS1,0.355337800730748,216,0.3234,0.462781918656346,0.85072
HDAC5,0.511063509885752,8,0.3239,0.43108785630198,0.85072
PER2,0.44866838859988,18,0.3319,0.408051283365305,0.85072
TBX21,0.459973356429274,15,0.3346,0.398391710080967,0.85072
NFYA,0.434005817776194,22,0.3353,0.41028285457797,0.85072
ABL1,0.397946903997757,44,0.3356,0.41145389402072,0.85072
SP4,0.467938052038698,13,0.336,0.398476621826329,0.85072
ING1,0.509789350500729,8,0.3368,0.415884495591078,0.85072
NR0B2,0.481806443629509,11,0.3409,0.391137081700692,0.85072
TWIST1,0.407005819198827,34,0.3489,0.389865557470315,0.85072
ATF5,0.504799865726026,8,0.3491,0.395811580472404,0.85072
PTTG1,0.41653931114117,29,0.3492,0.387426530092296,0.85072
NEUROG3,0.485994406155504,10,0.3548,0.374397436032392,0.85072
ATF2,0.390378585446797,51,0.3549,0.375761852770066,0.85072
MEN1,0.477720697884994,11,0.3561,0.365250950597006,0.85072
ELK4,0.48310451606247,10,0.3567,0.367501859679252,0.85072
SOX4,0.497105635377186,8,0.364,0.374638215246548,0.85072
USF1,0.361129690212906,131,0.364,0.352579187341162,0.85072
CTCF,0.409197009511619,31,0.3645,0.34784651386854,0.85072
LMO2,0.478260552814339,10,0.3661,0.343580577504307,0.85072
ESPL1,0.488603447418002,9,0.3681,0.359820760292201,0.85072
NCOA3,0.483491612104554,9,0.3762,0.338623711315841,0.855234042553192
PAX3,0.492931895501515,8,0.3822,0.35240463321292,0.855234042553192
SREBF2,0.427435090511373,20,0.3825,0.302087646198767,0.855234042553192
ELF3,0.481591112747889,9,0.3837,0.333749407129165,0.855234042553192
POU2F2,0.41191615660827,27,0.3861,0.289361519235154,0.855234042553192
IRF1,0.383876909846487,54,0.3865,0.286556919270063,0.855234042553192
SMAD3,0.368045997137969,88,0.3924,0.282930462905016,0.8554
NR1H3,0.487443881054207,8,0.3937,0.328574222169429,0.8554
HOXA1,0.462048975721778,11,0.3948,0.288265304751267,0.8554
EP300,0.364374913285,96,0.4004,0.24795450348388,0.861550344827586
FOS,0.360687249366749,109,0.4079,0.234426394054501,0.871676712328767
NRF1,0.43829245961306,15,0.4152,0.229591807891777,0.873181208053691
ZBTB16,0.482073257021423,8,0.4158,0.31101423038631,0.873181208053691
ZNF382,0.463486969350968,10,0.417,0.268754186563085,0.873181208053691
OTX2,0.449416098148192,12,0.4198,0.236134220185448,0.873184
SOX2,0.408861762074676,24,0.4234,0.191105035008835,0.874839735099338
IRF4,0.456458947225469,11,0.4288,0.237639552239323,0.880168421052632
SNAI2,0.414047244086104,21,0.4331,0.187158596216778,0.88318431372549
ESRRA,0.457804995898171,10,0.4394,0.239274241845955,0.890212987012987
NANOG,0.406422101333927,23,0.4452,0.142746356207507,0.8904
NR4A1,0.429030643526605,15,0.4452,0.164386041131645,0.8904
CEBPE,0.445581150308756,11,0.4485,0.206535924164519,0.89110243902439
FLI1,0.375485981455418,50,0.4531,0.114539319120008,0.89110243902439
IKBKB,0.38292654467607,39,0.4545,0.105479236097441,0.89110243902439
HOXA10,0.424742559785174,15,0.4621,0.140536008952249,0.89110243902439
PAX2,0.457613371302075,9,0.4642,0.218149328496837,0.89110243902439
POU3F2,0.421010137099496,16,0.4674,0.132726294258829,0.89110243902439
HIPK2,0.448703616791558,10,0.468,0.183350623457226,0.89110243902439
MAX,0.417055914651553,17,0.4684,0.104997494279007,0.89110243902439
FOXA1,0.402945356122656,22,0.4764,0.0742282386567773,0.900829090909091
POU2F1,0.350080749491616,123,0.4867,0.0391705171599589,0.910404790419162
RBL1,0.413467341114151,16,0.4873,0.076581328736157,0.910404790419162
STAT3,0.343208866030769,201,0.4923,0.0131635161078395,0.914271428571429
RBMX,0.451300176744065,8,0.4999,0.187269821931511,0.922892307692308
TP63,0.399516151322994,20,0.509,0.00616396622806713,0.929702752293578
VHL,0.396268963763012,21,0.513,-0.00445678030344915,0.929702752293578
ZFP36,0.43259943492007,10,0.5186,0.110096002337272,0.929702752293578
FOXO1,0.375553989378728,36,0.5204,-0.0517751581719955,0.929702752293578
ELK1,0.363021042489753,52,0.5209,-0.0644641338561433,0.929702752293578
PDX1,0.443067371833953,8,0.5269,0.145434134031629,0.929702752293578
E2F5,0.440629368135062,8,0.5341,0.132510683934543,0.929702752293578
PPARA,0.347667733817408,108,0.5355,-0.0927642448463552,0.929702752293578
SMAD2,0.372970812555457,35,0.5408,-0.0892888100146501,0.929702752293578
SP2,0.431036077620003,9,0.5418,0.0871248143706724,0.929702752293578
ELF1,0.424636379148294,10,0.5422,0.0695610837797229,0.929702752293578
PPARG,0.342894294050831,137,0.5479,-0.126472618562429,0.929702752293578
SNAI1,0.40853841054796,13,0.5494,-0.00167314046158573,0.929702752293578
HDAC7,0.409305378830671,13,0.5516,-0.00551762380274135,0.929702752293578
EZH2,0.36790368124418,39,0.5525,-0.118105792362154,0.929702752293578
MBD2,0.435620373603118,8,0.5538,0.11995212768223,0.929702752293578
NFYC,0.399114134701472,15,0.5648,-0.0554138731602898,0.929702752293578
HIF1A,0.340660980664799,144,0.5699,-0.184774972704477,0.929702752293578
LEF1,0.353675298242277,62,0.5737,-0.192439995157875,0.929702752293578
SPI1,0.342456668601166,116,0.5769,-0.202245921331266,0.929702752293578
HNF4A,0.358333193666915,46,0.5798,-0.208248063101312,0.929702752293578
HNF1A,0.370800273786046,28,0.5815,-0.196187649612753,0.929702752293578
EGR2,0.385142544812387,18,0.5889,-0.131914691069952,0.929702752293578
NR1I2,0.372941698507139,26,0.594,-0.204190413476129,0.929702752293578
SOX9,0.371728408571387,25,0.5971,-0.216945975341708,0.929702752293578
PITX2,0.400145011491297,12,0.5985,-0.0769443536924255,0.929702752293578
CEBPD,0.361575175841756,35,0.5987,-0.256467271209986,0.929702752293578
NR3C1,0.361061341892955,37,0.5993,-0.254639071364615,0.929702752293578
NFATC2,0.367029695679921,29,0.5997,-0.241084950492616,0.929702752293578
NFATC3,0.384995299614455,17,0.6015,-0.140362394213669,0.929702752293578
CREM,0.371914798618136,24,0.6016,-0.244395820114544,0.929702752293578
BCL3,0.40447722549376,10,0.6043,-0.0207612692411093,0.929702752293578
CREBBP,0.348451856728309,61,0.6059,-0.276420188220596,0.929702752293578
RFXANK,0.387209895888205,15,0.6134,-0.166600002216372,0.929702752293578
RFXAP,0.387209895888205,15,0.6134,-0.166600002216372,0.929702752293578
MEF2A,0.401544222701189,10,0.6146,-0.0376039784009947,0.929702752293578
JUN,0.32917694268268,328,0.6221,-0.315931248580946,0.929702752293578
FOXD3,0.410285164700243,8,0.6237,0.0125820288393163,0.929702752293578
FOSL2,0.385124386948064,15,0.6253,-0.174536268618419,0.929702752293578
ING4,0.384935724376669,15,0.6257,-0.179309034558824,0.929702752293578
RFX5,0.376945281524242,18,0.6259,-0.252998204982969,0.929702752293578
ESR1,0.334688132375946,149,0.629,-0.33497204314023,0.929702752293578
STAT5B,0.348083578243221,53,0.6324,-0.350005047754832,0.929702752293578
SMAD6,0.391778255035775,10,0.6376,-0.0784127359154424,0.929702752293578
IRF3,0.363709628946092,25,0.6383,-0.329435607555479,0.929702752293578
HOXB7,0.385975726798494,12,0.642,-0.150360292473051,0.929702752293578
REL,0.354303982674175,37,0.6452,-0.359021925881872,0.929702752293578
PITX1,0.377371298910149,15,0.6485,-0.224240885778586,0.929702752293578
CDX1,0.399379846097098,8,0.6496,-0.0345181353178838,0.929702752293578
FOXA2,0.368207734734795,19,0.6571,-0.31204752214833,0.936141176470588
SMAD7,0.358467671206656,25,0.6605,-0.376568931949289,0.936141176470588
PIAS1,0.367259120389074,17,0.6631,-0.292068354858773,0.936141176470588
IRF7,0.361402650014577,23,0.6666,-0.392634749765015,0.936843243243243
GATA6,0.38752020034329,9,0.6747,-0.0960183783508826,0.9399
RELB,0.372448488832199,13,0.6748,-0.227685797260319,0.9399
NFKB2,0.350256117799425,29,0.6818,-0.450447473617833,0.942918260869565
ATF3,0.356754558485247,20,0.6882,-0.416202090676053,0.942918260869565
SIRT1,0.337399903009553,55,0.6913,-0.505697091754849,0.942918260869565
HES1,0.381971369422849,9,0.6921,-0.144704322289413,0.942918260869565
HDAC4,0.35277438243591,23,0.6925,-0.435185983880542,0.942918260869565
CREB1,0.325271624928863,231,0.6951,-0.524767669337294,0.942918260869565
MITF,0.341446704573778,29,0.7136,-0.550435686769546,0.9546
FOSL1,0.367075711953071,9,0.7249,-0.186160433637023,0.9546
SP3,0.323290382916528,160,0.7335,-0.645088438935442,0.9546
NFYB,0.349195997933256,16,0.7393,-0.441310287704248,0.9546
BCL6,0.337639969062577,29,0.7397,-0.628354774976549,0.9546
SREBF1,0.334581460060681,34,0.7415,-0.642851178521701,0.9546
NR5A2,0.353326012502499,12,0.7485,-0.340998384809551,0.9546
ETS2,0.32679698741807,74,0.7488,-0.673252608552094,0.9546
SATB1,0.348126619161698,15,0.7491,-0.448874508486918,0.9546
NFAT5,0.340963616516112,18,0.7503,-0.519012375968479,0.9546
CUX1,0.360941154616799,8,0.7505,-0.213687978890316,0.9546
HSF1,0.33391393433704,30,0.7513,-0.651360845345546,0.9546
TFAP2A,0.319836981238994,316,0.7568,-0.701378679889655,0.9546
RUNX2,0.340023604627975,20,0.7593,-0.599772844031418,0.9546
TFAP2C,0.351325052026841,9,0.7639,-0.259877804045977,0.9546
KLF6,0.336179681504355,20,0.7687,-0.60271834851364,0.9546
NFATC4,0.336480424757345,18,0.7726,-0.563051846442125,0.9546
BTF3,0.348064807871825,9,0.7727,-0.275017935456886,0.9546
IRF2,0.34988721097729,8,0.7727,-0.230521458141006,0.9546
NFKBIA,0.327460350929997,38,0.7729,-0.749848593524098,0.9546
EWSR1,0.348898815174063,10,0.7736,-0.362478326316057,0.9546
NFATC1,0.330233734598015,24,0.7799,-0.683989043900427,0.9546
POU1F1,0.336081901759588,11,0.7835,-0.405460173111891,0.9546
HTT,0.333175068546418,14,0.7925,-0.555144072373453,0.9546
CDX2,0.322267585123577,33,0.7933,-0.818177437625036,0.9546
YBX1,0.322926558027183,31,0.7945,-0.822427767571601,0.9546
PROX1,0.339873847487257,10,0.7946,-0.371217750046354,0.9546
JUNB,0.329078771727082,15,0.7947,-0.592211617282249,0.9546
PIAS4,0.329197427364728,13,0.7955,-0.50852287022892,0.9546
STAT2,0.320989298578557,45,0.7955,-0.828070691687728,0.9546
IRF8,0.329303746970809,13,0.8041,-0.538812912059892,0.960412213740458
JUND,0.318715932399307,37,0.8065,-0.875231156575384,0.960412213740458
VDR,0.31467749353663,46,0.8142,-0.919062339302281,0.963418181818182
NR3C2,0.319931277192837,21,0.8152,-0.787082749691533,0.963418181818182
RUNX3,0.317557990409966,29,0.8186,-0.866719703448499,0.963563909774436
TCF7L2,0.317103101175598,30,0.8215,-0.899081828206883,0.963563909774436
POU5F1,0.316989048627383,24,0.8278,-0.854758295139012,0.964300371747212
NR2F1,0.318527171480478,9,0.8288,-0.400072536487856,0.964300371747212
HOXA9,0.318670880588572,9,0.8314,-0.424559076069835,0.964300371747212
TCF7L1,0.313482314321633,20,0.837,-0.835866354158614,0.966980281690141
HDAC3,0.31118607571699,26,0.844,-0.961966232759408,0.966980281690141
CREB3L1,0.311357064921984,10,0.8504,-0.519792201311567,0.966980281690141
CTNNB1,0.307241040248672,73,0.8514,-1.06145826181531,0.966980281690141
MECP2,0.308882940047665,11,0.8521,-0.584941772968313,0.966980281690141
PIAS3,0.304345416261923,14,0.8579,-0.729569875096283,0.966980281690141
TBP,0.30308090142056,16,0.86,-0.756840210580121,0.966980281690141
CREB5,0.302661971295546,20,0.8604,-0.922887454031157,0.966980281690141
STAT5A,0.30646427507679,60,0.8627,-1.0782233501495,0.966980281690141
ZEB1,0.300325558564666,12,0.8702,-0.668557690621837,0.966980281690141
RARG,0.301846645056256,45,0.874,-1.13675525980979,0.966980281690141
SP100,0.297601106904996,13,0.8751,-0.733446081671715,0.966980281690141
TAL1,0.296812374442294,11,0.8756,-0.615026648288622,0.966980281690141
TCF7,0.297996736978805,21,0.88,-1.00106672836044,0.966980281690141
HEY1,0.282370257739323,8,0.8802,-0.505565735536249,0.966980281690141
TFCP2,0.281616819566667,9,0.8889,-0.582841496972735,0.973111578947368
ZNF148,0.275540684760106,9,0.8941,-0.611402546089716,0.975381818181818
STAT6,0.294741025052531,61,0.9005,-1.28796580517846,0.976068493150685
PIAS2,0.280062503428909,14,0.9013,-0.842040018391524,0.976068493150685
AR,0.304975128944772,300,0.9051,-1.29921046067397,0.976068493150685
RBPJL,0.282486898628793,21,0.9089,-1.17941710621285,0.976068493150685
RARB,0.290723381289371,54,0.9122,-1.35959989183835,0.976068493150685
NKX2-5,0.250978700733783,9,0.9135,-0.692165347323544,0.976068493150685
KLF4,0.283756026816362,37,0.9217,-1.3831356310416,0.98014693877551
STAT4,0.2822666082288,34,0.9236,-1.40346632402685,0.98014693877551
RARA,0.293141864093719,116,0.9288,-1.46955318694771,0.980481081081081
ERG,0.280131904351171,41,0.9302,-1.46540963912695,0.980481081081081
CREB3L3,-0.209394048045895,9,0.9406,-2.84619274537049,0.98810505050505
NFKBIB,0.24386230304244,14,0.9483,-1.12349560472457,0.991040531561462
CREB3L4,-0.209404774101014,10,0.9516,-3.12639556785329,0.991040531561462
CREB3,-0.209404774101014,10,0.9545,-3.19940059222651,0.991040531561462
WWP1,0.246099081753671,18,0.9561,-1.38037955215884,0.991040531561462
CIITA,0.264009571574877,38,0.9607,-1.71965619533942,0.992511258278146
IRF5,-0.276201208892532,10,0.9692,-3.50777544922358,0.996977198697068
RBPJ,0.235409602963481,25,0.9763,-1.79978805699008,0.996977198697068
ATF4,0.259320230360384,64,0.9774,-1.96195419444828,0.996977198697068
APC,0.227606557475235,23,0.979,-1.8486135051741,0.996977198697068
ETV4,0.261258808560595,82,0.981,-2.0469796164632,0.996977198697068
GLI2,0.251025984205624,61,0.9843,-2.12848967577988,0.997083116883117
RFX1,-0.305835937900292,15,0.9967,-5.5353401943046,0.9999
PAX6,-0.276277353559166,19,0.9981,-6.33613219696672,0.9999
GLI3,0.215894674597561,53,0.9985,-2.65934392259048,0.9999
GLI1,0.19794275020338,68,0.9999,-3.24548243113243,0.9999
