,TopTFs,FeatureRatio,AbsCor,Nodes,Interactions,PosInt,Accuracy,KLdist,AvgDist
0.09-32-0.85,32,0.09,0.85,29,102,53,0.9358,0.163663405274125,0.00892981704678721
0.07-36-0.85,36,0.07,0.85,32,108,55,0.932,0.205853049018352,0.00821811458711669
0.07-32-0.75,32,0.07,0.75,52,165,87,0.9415,0.155393743101073,0.00609254097816869
0.07-32-0,32,0.07,0,58,176,97,0.9456,0.158361244902123,0.00635676379984394
0.08-28-0.55,28,0.08,0.55,53,168,92,0.9444,0.152407551935763,0.0062969049415872
0.16-28-0.85,28,0.16,0.85,22,75,42,0.9169,0.145264572852883,0.00933569730510756
