,FeatureRatio,TopTFs,AbsCor,Nodes,Interactions,PosInt,Connected,Transitivity,MeanDistance,DupStatus,SimIdx,ClusterA,ClusterB,Accuracy,KLdist,ClusterA2,ClusterB2,AvgDist,flexibility,maxSigval.Netact,maxSigval.MARINa,minSigval.RI,idxAccuracy,idxAvgDist,idxBoth,idxFlexibility,idxTrio
0.16-24-0.85,0.16,24,0.85,20,67,39,1,0.394463667820069,7.42631578947368,FALSE,0.16-24-0.85,0.2457,0.6392,0.8849,0.171111171735265,-0.185999036244009,0.255526576567878,0.0107306051152894,0.0536867370568881,0.0251,0.0150266655378143,0.000529118752793779,273,435,708,46,754
0.05-24-0.85,0.05,24,0.85,20,69,44,1,0.405144694533762,6.61578947368421,FALSE,0.05-24-0.85,0.148,0.4619,0.6099,0.667979332378133,-0.187059544363359,0.0345921523649472,0.0186898210493211,0.0373780007782059,0.0269,0.00836638594822093,0.000846627974276471,487,497,984,63,1047
0.08-20-0.8,0.08,20,0.8,20,63,49,1,0.346153846153846,5.83947368421053,FALSE,0.08-20-0.8,0.1525,0.3165,0.469,0.996400591050739,-0.188179436496467,-0.0959419670238873,0.0246368148752195,0.0560022594422206,0.0219,0.00972842056057589,0.000638995906568805,523,521,1044,43,1087
0.05-12-0.75,0.05,12,0.75,20,52,39,1,0.316666666666667,10.1236842105263,FALSE,0.05-12-0.75,0.1317,0.4439,0.5756,0.762125317352621,-0.181825218249044,0.0155994864114804,0.0237062564988415,0.032094781500756,0.0135,0.00429651972588583,0.00144114628691163,497,517,1014,80,1094
