,FeatureRatio,TopTFs,AbsCor,Nodes,Interactions,PosInt,Connected,Transitivity,MeanDistance,DupStatus,SimIdx,ClusterA,ClusterB,Accuracy,KLdist,ClusterA2,ClusterB2,AvgDist,flexibility,maxSigval.Netact,maxSigval.MARINa,minSigval.RI,idxAccuracy,idxAvgDist,idxBoth,idxFlexibility,idxTrio
0.07-20-0.8,0.07,20,0.8,19,61,47,1,0.359447004608295,5.76900584795322,FALSE,0.07-20-0.8,0.1432,0.3255,0.4687,1.0062880744841,-0.185714055084773,-0.0895434084860237,0.0229471617618654,0.0729593660675119,0.0219,0.00972842056057589,0.000662991475878953,524,515,1039,32,1071
0.06-20-0.8,0.06,20,0.8,19,62,48,1,0.371681415929204,5.76315789473684,FALSE,0.06-20-0.8,0.1474,0.3494,0.4968,0.928160807332169,-0.186899976996092,-0.071361463300705,0.0230935092597836,0.0680777508187912,0.0219,0.00972842056057589,0.000846627974276471,519,516,1035,37,1072
0.2-12-0.75,0.2,12,0.75,19,51,39,1,0.315789473684211,8.2953216374269,FALSE,0.2-12-0.75,0.083,0.2747,0.3577,1.39606035191939,-0.15290986301962,-0.122180468663121,0.0321898188899959,0.0693965893216698,0.0135,0.00735584021313352,0.000662991475878953,535,531,1066,35,1101
