,FeatureRatio,TopTFs,AbsCor,Nodes,Interactions,PosInt,Connected,Transitivity,MeanDistance,DupStatus,SimIdx,ClusterA,ClusterB,Accuracy,KLdist,ClusterA2,ClusterB2,AvgDist,flexibility,maxSigval.Netact,maxSigval.MARINa,minSigval.RI,idxAccuracy,idxAvgDist,idxBoth,idxFlexibility,idxTrio
0.1-24-0.85,0.1,24,0.85,21,76,45,1,0.366071428571429,5,FALSE,0.1-24-0.85,0.1738,0.4357,0.6095,0.637135588639219,-0.191740140233043,0.0071875313800513,0.0190019435644026,0.044690687918283,0.0251,0.00429651972588583,0.000623217076763923,488,499,987,51,1038
0.2-12-0.7,0.2,12,0.7,21,55,43,1,0.28,9.29047619047619,FALSE,0.2-12-0.7,0.078,0.2448,0.3228,1.5121491465645,-0.148544704414664,-0.137091884475815,0.0324171588701199,0.0567997143239345,0.0135,0.00735584021313352,0.000662991475878953,539,533,1072,41,1113
0.1-12-0.75,0.1,12,0.75,21,54,39,1,0.321428571428571,11.0452380952381,FALSE,0.1-12-0.75,0.1231,0.3413,0.4644,1.04025746458408,-0.178264936054688,-0.0777124955434595,0.0247220528277284,0.030353648792587,0.0135,0.00429651972588583,0.00074711584923142,525,523,1048,101,1149
