,FeatureRatio,TopTFs,AbsCor,Nodes,Interactions,PosInt,Connected,Transitivity,MeanDistance,DupStatus,SimIdx,ClusterA,ClusterB,Accuracy,KLdist,ClusterA2,ClusterB2,AvgDist,flexibility,maxSigval.Netact,maxSigval.MARINa,minSigval.RI,idxAccuracy,idxAvgDist,idxBoth,idxFlexibility,idxTrio
0.16-28-0.85,0.16,28,0.85,22,75,42,1,0.366847826086957,8.3961038961039,FALSE,0.16-28-0.85,0.2595,0.6574,0.9169,0.145264572852883,-0.182265381271571,0.281258888508371,0.00933569730510756,0.0485613499884484,0.0307,0.0150266655378143,0.000529118752793779,107,401,508,48,556
0.09-24-0.85,0.09,24,0.85,22,79,46,1,0.356521739130435,5.88961038961039,FALSE,0.09-24-0.85,0.1789,0.5336,0.7125,0.441688950411694,-0.192192471001737,0.116959290957058,0.0153001312889105,0.0385870897485025,0.0269,0.00429651972588583,0.000623217076763923,462,473,935,60,995
0.2-20-0.8,0.2,20,0.8,22,73,49,1,0.331034482758621,7.18181818181818,FALSE,0.2-20-0.8,0.2206,0.3346,0.5552,0.720266972657466,-0.190769807796633,-0.0828207374121234,0.016557832137034,0.0426349515363085,0.0219,0.0125514680261449,0.000623217076763923,503,481,984,53,1037
0.14-20-0.8,0.14,20,0.8,22,74,50,1,0.34375,7.2012987012987,FALSE,0.14-20-0.8,0.2263,0.2936,0.5199,0.808419602785651,-0.189926022848801,-0.111051006176503,0.0205196996369376,0.0723799956776868,0.0219,0.00972842056057589,0.000623217076763923,515,503,1018,33,1051
0.05-12-0,0.05,12,0,22,55,41,1,0.277777777777778,12.0194805194805,FALSE,0.05-12-0,0.1408,0.4929,0.6337,0.63128273960906,-0.184981303982906,0.0689315204028729,0.0214190514386874,0.0316365160748119,0.0135,0.00429651972588583,0.00144114628691163,481,510,991,85,1076
0.1-20-0.8,0.1,20,0.8,22,69,51,1,0.328301886792453,6.76190476190476,FALSE,0.1-20-0.8,0.1442,0.3053,0.4495,1.05784678582497,-0.186007457423539,-0.103546317006157,0.0242202941742184,0.0527291589249637,0.0219,0.00972842056057589,0.000636856831064011,529,519,1048,47,1095
