tf,count,pathways
MYCN,7,Cell cycle(3e-09);Cellular senescence(4e-04);p53 signaling pathway(0.002);PI3K-Akt signaling pathway(0.007);JAK-STAT signaling pathway(0.2);MAPK signaling pathway(0.3);AMPK signaling pathway(1)
NFIC,7,AMPK signaling pathway(0.03);PI3K-Akt signaling pathway(0.03);MAPK signaling pathway(0.1);JAK-STAT signaling pathway(0.3);Cell cycle(0.5);p53 signaling pathway(0.7);Cellular senescence(1)
NFYA,7,p53 signaling pathway(0.03);MAPK signaling pathway(0.1);AMPK signaling pathway(0.3);Cellular senescence(0.3);JAK-STAT signaling pathway(0.3);Cell cycle(0.4);PI3K-Akt signaling pathway(0.5)
NR0B1,7,AMPK signaling pathway(0.2);Cell cycle(1);p53 signaling pathway(1);PI3K-Akt signaling pathway(1);MAPK signaling pathway(1);JAK-STAT signaling pathway(1);Cellular senescence(1)
NR1H4,7,MAPK signaling pathway(0.4);PI3K-Akt signaling pathway(0.4);p53 signaling pathway(1);Cell cycle(1);JAK-STAT signaling pathway(1);Cellular senescence(1);AMPK signaling pathway(1)
NR5A1,7,Cell cycle(1);p53 signaling pathway(1);AMPK signaling pathway(1);PI3K-Akt signaling pathway(1);MAPK signaling pathway(1);JAK-STAT signaling pathway(1);Cellular senescence(1)
PAX5,7,p53 signaling pathway(0.009);PI3K-Akt signaling pathway(0.04);Cellular senescence(0.08);Cell cycle(0.1);MAPK signaling pathway(0.2);JAK-STAT signaling pathway(0.3);AMPK signaling pathway(1)
PBX1,7,p53 signaling pathway(1);PI3K-Akt signaling pathway(1);Cell cycle(1);MAPK signaling pathway(1);JAK-STAT signaling pathway(1);Cellular senescence(1);AMPK signaling pathway(1)
POU2F1,7,JAK-STAT signaling pathway(0.004);PI3K-Akt signaling pathway(0.04);Cellular senescence(0.4);AMPK signaling pathway(1);Cell cycle(1);p53 signaling pathway(1);MAPK signaling pathway(1)
POU3F2,7,Cell cycle(1);p53 signaling pathway(1);PI3K-Akt signaling pathway(1);MAPK signaling pathway(1);JAK-STAT signaling pathway(1);Cellular senescence(1);AMPK signaling pathway(1)
RARA,7,AMPK signaling pathway(0.004);PI3K-Akt signaling pathway(0.08);p53 signaling pathway(0.2);Cell cycle(0.3);Cellular senescence(0.4);MAPK signaling pathway(1);JAK-STAT signaling pathway(1)
RB1,7,Cell cycle(3e-15);Cellular senescence(1e-13);PI3K-Akt signaling pathway(1e-07);p53 signaling pathway(6e-07);MAPK signaling pathway(0.004);AMPK signaling pathway(0.1);JAK-STAT signaling pathway(0.2)
RUNX1,7,PI3K-Akt signaling pathway(0.01);JAK-STAT signaling pathway(0.02);MAPK signaling pathway(0.05);Cell cycle(0.1);p53 signaling pathway(0.4);Cellular senescence(0.4);AMPK signaling pathway(1)
SMAD9,7,MAPK signaling pathway(0.2);PI3K-Akt signaling pathway(0.3);Cellular senescence(0.6);Cell cycle(0.6);p53 signaling pathway(1);JAK-STAT signaling pathway(1);AMPK signaling pathway(1)
SMARCA4,7,p53 signaling pathway(0.02);Cellular senescence(0.02);Cell cycle(0.04);MAPK signaling pathway(0.05);JAK-STAT signaling pathway(0.2);PI3K-Akt signaling pathway(0.4);AMPK signaling pathway(1)
SOS1,7,p53 signaling pathway(0.1);Cellular senescence(0.1);JAK-STAT signaling pathway(0.2);Cell cycle(0.2);PI3K-Akt signaling pathway(0.3);AMPK signaling pathway(1);MAPK signaling pathway(1)
STAT3,7,JAK-STAT signaling pathway(2e-09);PI3K-Akt signaling pathway(4e-04);MAPK signaling pathway(0.007);p53 signaling pathway(0.008);AMPK signaling pathway(0.009);Cellular senescence(0.5);Cell cycle(0.8)
STAT6,7,JAK-STAT signaling pathway(2e-09);PI3K-Akt signaling pathway(0.08);MAPK signaling pathway(0.2);p53 signaling pathway(0.4);Cellular senescence(0.4);Cell cycle(0.5);AMPK signaling pathway(1)
TCF3,7,p53 signaling pathway(0.03);Cellular senescence(0.2);JAK-STAT signaling pathway(0.2);Cell cycle(0.3);MAPK signaling pathway(0.4);PI3K-Akt signaling pathway(0.7);AMPK signaling pathway(1)
TFDP1,7,Cellular senescence(3e-04);Cell cycle(0.006);PI3K-Akt signaling pathway(0.03);p53 signaling pathway(0.1);MAPK signaling pathway(0.3);AMPK signaling pathway(0.3);JAK-STAT signaling pathway(0.4)
TP53,7,p53 signaling pathway(4e-23);Cellular senescence(2e-11);Cell cycle(1e-08);PI3K-Akt signaling pathway(3e-04);MAPK signaling pathway(5e-04);AMPK signaling pathway(0.4);JAK-STAT signaling pathway(1)
TP73,7,p53 signaling pathway(6e-06);PI3K-Akt signaling pathway(3e-04);Cellular senescence(4e-04);Cell cycle(9e-04);MAPK signaling pathway(0.1);JAK-STAT signaling pathway(0.3);AMPK signaling pathway(1)
USF2,7,PI3K-Akt signaling pathway(0.03);AMPK signaling pathway(0.1);JAK-STAT signaling pathway(0.2);p53 signaling pathway(0.3);MAPK signaling pathway(0.7);Cell cycle(1);Cellular senescence(1)
