,FeatureRatio,TopTFs,AbsCor,Nodes,Interactions,PosInt,Connected,Transitivity,MeanDistance,DupStatus,SimIdx,AvgDist.mean,AvgDist.sd
0.18-52-0.8,0.18,52,0.8,69,312,190,1,0.218386876281613,10.4771952259165,FALSE,0.18-52-0.8,0.0091966524491652,0.000155725565308315
0.08-36-0.3,0.08,36,0.3,70,226,130,1,0.181868743047831,18.1395445134576,FALSE,0.08-36-0.3,0.0072586713618639,0.000120607329905058
0.08-40-0.7,0.08,40,0.7,70,232,132,1,0.193037974683544,19.9496894409938,FALSE,0.08-40-0.7,0.0068326848063519,6.96433146771712e-05
0.16-36-0,0.16,36,0,70,232,138,1,0.174572127139364,18.2875776397516,FALSE,0.16-36-0,0.0078958277627731,0.000185235417196232
0.09-40-0.7,0.09,40,0.7,70,235,138,1,0.194210526315789,19.0267080745342,FALSE,0.09-40-0.7,0.00749973378917814,6.42966625096634e-05
0.14-40-0.75,0.14,40,0.75,70,261,151,1,0.18531781557744,13.3540372670807,FALSE,0.14-40-0.75,0.00721494387597516,6.10965875105959e-05
0.06-40-0.65,0.06,40,0.65,71,233,137,1,0.188318777292576,20.3148893360161,FALSE,0.06-40-0.65,0.00770351130386447,0.000115192311382517
0.18-36-0,0.18,36,0,71,236,142,1,0.171510242972844,19.2450704225352,FALSE,0.18-36-0,0.00812714450278559,0.000162240620321625
0.07-40-0.7,0.07,40,0.7,71,240,141,1,0.188284518828452,16.4649899396378,FALSE,0.07-40-0.7,0.00735732645204883,0.000119846705391829
0.2-40-0.7,0.2,40,0.7,71,263,153,1,0.182016586643387,15.39476861167,FALSE,0.2-40-0.7,0.00715623921385181,0.000165508840450803
0.07-52-0.8,0.07,52,0.8,71,302,178,1,0.210954848260548,11.541046277666,FALSE,0.07-52-0.8,0.00781109178450201,0.000108411016873764
0.18-56-0.8,0.18,56,0.8,71,320,194,1,0.214566929133858,10.4979879275654,FALSE,0.18-56-0.8,0.00906347888158015,0.000153662080206512
0.09-56-0.8,0.09,56,0.8,71,321,195,1,0.217333774396295,11.3144869215292,FALSE,0.09-56-0.8,0.00907997046463713,0.000141732198705507
0.06-40-0.55,0.06,40,0.55,72,234,138,1,0.18578352180937,21.2826682316119,FALSE,0.06-40-0.55,0.0076657111026472,0.000178656623810385
