,FeatureRatio,TopTFs,AbsCor,Nodes,Interactions,PosInt,Connected,Transitivity,MeanDistance
0.07-48-0.75,0.07,48,0.75,81,277,160,1,0.188461538461538,16.6524691358025
0.07-48-0.7,0.07,48,0.7,87,293,174,1,0.17743830787309,20.5367548783748
0.07-48-0.65,0.07,48,0.65,90,298,178,1,0.175519630484988,22.516354556804
0.07-48-0.6,0.07,48,0.6,91,300,180,1,0.17366628830874,22.5230769230769
0.07-48-0.5,0.07,48,0.5,91,300,180,1,0.17366628830874,22.5230769230769
0.07-48-0.4,0.07,48,0.4,91,300,180,1,0.17366628830874,22.5230769230769
0.07-48-0,0.07,48,0,92,301,181,1,0.171652954375467,23.4946249402771
0.07-52-0.85,0.07,52,0.85,45,198,110,1,0.275771503611293,10.8424242424242
0.07-52-0.8,0.07,52,0.8,71,302,178,1,0.210954848260548,11.541046277666
0.07-52-0.75,0.07,52,0.75,87,349,203,1,0.189975990396158,15.5956963378776
0.07-52-0.7,0.07,52,0.7,94,367,218,1,0.17966573816156,19.5331731869137
0.07-52-0.65,0.07,52,0.65,97,372,222,1,0.177875377436179,21.5084836769759
0.07-52-0.6,0.07,52,0.6,98,374,224,1,0.176184032476319,21.5140963601936
0.07-52-0.5,0.07,52,0.5,98,374,224,1,0.176184032476319,21.5140963601936
0.07-52-0.45,0.07,52,0.45,98,374,224,1,0.176184032476319,21.5140963601936
0.07-52-0.4,0.07,52,0.4,99,377,225,1,0.174250535331906,21.5330859616574
0.07-52-0,0.07,52,0,100,378,226,1,0.172679045092838,22.5068686868687
0.07-56-0.85,0.07,56,0.85,46,200,111,1,0.27132777421424,11.8019323671498
0.07-56-0.8,0.07,56,0.8,72,305,180,1,0.209226298583364,12.5027386541471
0.07-56-0.75,0.07,56,0.75,92,371,218,1,0.183588317107093,16.4700191113235
0.07-56-0.7,0.07,56,0.7,99,389,233,1,0.174093264248705,20.3793032364461
0.07-56-0.65,0.07,56,0.65,103,398,237,1,0.171712032561689,21.4039596421093
0.07-56-0.6,0.07,56,0.6,104,400,239,1,0.17022344966106,21.4103808812547
0.07-56-0.5,0.07,56,0.5,104,400,239,1,0.17022344966106,21.4103808812547
0.07-56-0.45,0.07,56,0.45,104,400,239,1,0.17022344966106,21.4103808812547
0.07-56-0.4,0.07,56,0.4,105,403,240,1,0.168489065606362,21.4299450549451
0.07-56-0,0.07,56,0,106,404,241,1,0.167077378018728,22.3968553459119
0.07-60-0.85,0.07,60,0.85,53,229,135,1,0.253205128205128,11.9967343976778
0.07-60-0.8,0.07,60,0.8,77,333,205,1,0.2,12.5258031442242
0.07-60-0.75,0.07,60,0.75,97,402,246,1,0.177710843373494,17.4335266323024
0.07-60-0.7,0.07,60,0.7,107,431,268,1,0.169824561403509,24.1662846058896
0.07-60-0.65,0.07,60,0.65,111,440,272,1,0.167624741319844,25.1969696969697
0.07-60-0.6,0.07,60,0.6,112,442,274,1,0.166174801362089,25.2050353925354
0.07-60-0.5,0.07,60,0.5,112,442,274,1,0.166174801362089,25.2050353925354
0.07-60-0.45,0.07,60,0.45,112,442,274,1,0.166174801362089,25.2050353925354
0.07-60-0.4,0.07,60,0.4,113,445,275,1,0.164605351922644,25.2245575221239
0.07-60-0,0.07,60,0,114,446,276,1,0.163247100802855,26.195699425555
0.08-4-0.85,0.08,4,0.85,3,9,5,1,1,1
0.08-4-0.75,0.08,4,0.75,6,14,8,1,0.5,3.06666666666667
0.08-4-0,0.08,4,0,6,14,8,1,0.5,3.06666666666667
0.08-8-0.75,0.08,8,0.75,11,20,12,1,0.214285714285714,7.56363636363636
0.08-8-0.65,0.08,8,0.65,12,22,14,1,0.236842105263158,7.73484848484848
0.08-8-0,0.08,8,0,12,22,14,1,0.236842105263158,7.73484848484848
0.08-12-0.85,0.08,12,0.85,12,39,26,1,0.485714285714286,3.62878787878788
0.08-12-0.8,0.08,12,0.8,14,43,30,1,0.421487603305785,5.43406593406593
0.08-12-0.75,0.08,12,0.75,22,57,42,1,0.307317073170732,11.1103896103896
0.08-12-0.65,0.08,12,0.65,23,59,44,1,0.2882096069869,12.0573122529644
0.08-12-0,0.08,12,0,23,59,44,1,0.2882096069869,12.0573122529644
0.08-16-0.85,0.08,16,0.85,13,41,28,1,0.461538461538462,3.74358974358974
0.08-16-0.8,0.08,16,0.8,17,53,40,1,0.368715083798883,4.88235294117647
0.08-16-0.75,0.08,16,0.75,26,70,52,1,0.273615635179153,10.4861538461538
0.08-16-0.7,0.08,16,0.7,27,72,54,1,0.258928571428571,11.4230769230769
0.08-16-0.65,0.08,16,0.65,27,72,54,1,0.258928571428571,11.4230769230769
0.08-16-0.55,0.08,16,0.55,27,72,54,1,0.258928571428571,11.4230769230769
0.08-16-0,0.08,16,0,28,73,55,1,0.25,12.3783068783069
0.08-20-0.8,0.08,20,0.8,20,63,49,1,0.346153846153846,5.83947368421053
0.08-20-0.75,0.08,20,0.75,29,80,61,1,0.265415549597855,11.506157635468
0.08-20-0.7,0.08,20,0.7,30,82,63,1,0.251851851851852,12.4494252873563
0.08-20-0.65,0.08,20,0.65,31,83,64,1,0.243436754176611,13.4075268817204
0.08-20-0.55,0.08,20,0.55,32,85,66,1,0.241706161137441,14.289314516129
0.08-20-0.4,0.08,20,0.4,33,86,67,1,0.233409610983982,15.2537878787879
0.08-20-0,0.08,20,0,34,87,68,1,0.225165562913907,16.2201426024955
0.08-24-0.85,0.08,24,0.85,25,89,55,1,0.344827586206897,6.87
0.08-24-0.8,0.08,24,0.8,29,103,66,1,0.316981132075472,8.69827586206897
0.08-24-0.75,0.08,24,0.75,37,117,72,1,0.266375545851528,13.5630630630631
0.08-24-0.7,0.08,24,0.7,38,120,74,1,0.256445047489824,14.5135135135135
0.08-24-0.65,0.08,24,0.65,40,124,78,1,0.248062015503876,15.5551282051282
0.08-24-0.55,0.08,24,0.55,41,129,81,1,0.24746192893401,16.2634146341463
0.08-24-0.45,0.08,24,0.45,42,130,82,1,0.241635687732342,17.2340301974448
0.08-24-0.4,0.08,24,0.4,43,132,84,1,0.238678090575275,18.0813953488372
0.08-24-0.3,0.08,24,0.3,44,133,85,1,0.232974910394265,19.0570824524313
0.08-24-0.2,0.08,24,0.2,44,133,85,1,0.232974910394265,19.0570824524313
0.08-24-0,0.08,24,0,44,133,85,1,0.232974910394265,19.0570824524313
0.08-28-0.85,0.08,28,0.85,32,110,60,1,0.307570977917981,11.5252016129032
0.08-28-0.8,0.08,28,0.8,40,134,74,1,0.27307206068268,14.5935897435897
0.08-28-0.75,0.08,28,0.75,49,155,83,1,0.242453748782863,17.7636054421769
0.08-28-0.7,0.08,28,0.7,50,158,85,1,0.235023041474654,18.7208163265306
0.08-28-0.65,0.08,28,0.65,52,162,89,1,0.228723404255319,19.7432126696833
0.08-28-0.55,0.08,28,0.55,53,168,92,1,0.2265625,20.47206095791
0.08-28-0.5,0.08,28,0.5,54,169,93,1,0.222506393861893,21.4447938504542
0.08-28-0.45,0.08,28,0.45,54,169,93,1,0.222506393861893,21.4447938504542
0.08-28-0.4,0.08,28,0.4,55,171,95,1,0.220625528317836,22.320202020202
0.08-28-0.3,0.08,28,0.3,56,172,96,1,0.216597510373444,23.2964285714286
0.08-28-0.2,0.08,28,0.2,56,172,96,1,0.216597510373444,23.2964285714286
0.08-28-0,0.08,28,0,56,172,96,1,0.216597510373444,23.2964285714286
0.08-32-0.85,0.08,32,0.85,33,113,62,1,0.301801801801802,11.5653409090909
0.08-32-0.8,0.08,32,0.8,46,149,82,1,0.245901639344262,15.512077294686
0.08-32-0.75,0.08,32,0.75,55,171,92,1,0.224034334763948,18.6373737373737
0.08-32-0.7,0.08,32,0.7,56,174,94,1,0.217781402936378,19.5831168831169
0.08-32-0.65,0.08,32,0.65,58,178,98,1,0.212264150943396,20.5919540229885
0.08-32-0.55,0.08,32,0.55,59,184,101,1,0.210485736314572,21.33284628872
0.08-32-0.5,0.08,32,0.5,60,185,102,1,0.206974981046247,22.2937853107345
0.08-32-0.45,0.08,32,0.45,60,185,102,1,0.206974981046247,22.2937853107345
0.08-32-0.4,0.08,32,0.4,61,187,104,1,0.205417607223476,23.1677595628415
0.08-32-0.3,0.08,32,0.3,62,188,105,1,0.201923076923077,24.132469592808
0.08-32-0.2,0.08,32,0.2,62,188,105,1,0.201923076923077,24.132469592808
0.08-32-0,0.08,32,0,62,188,105,1,0.201923076923077,24.132469592808
0.08-36-0.85,0.08,36,0.85,38,136,76,1,0.267981438515081,10.0334281650071
0.08-36-0.8,0.08,36,0.8,52,180,102,1,0.21669341894061,11.2428355957768
0.08-36-0.75,0.08,36,0.75,61,202,112,1,0.201315789473684,15.1311475409836
0.08-36-0.7,0.08,36,0.7,63,207,115,1,0.193548387096774,17.026113671275
0.08-36-0.65,0.08,36,0.65,66,213,120,1,0.189398451459202,18.0445221445221
0.08-36-0.55,0.08,36,0.55,67,221,125,1,0.18848167539267,16.2132519222071
0.08-36-0.5,0.08,36,0.5,68,222,126,1,0.18567335243553,17.1663740122915
0.08-36-0.45,0.08,36,0.45,68,222,126,1,0.18567335243553,17.1663740122915
0.08-36-0.4,0.08,36,0.4,69,225,129,1,0.184641445511011,17.1847826086957
0.08-36-0.3,0.08,36,0.3,70,226,130,1,0.181868743047831,18.1395445134576
0.08-36-0.2,0.08,36,0.2,70,226,130,1,0.181868743047831,18.1395445134576
0.08-36-0.1,0.08,36,0.1,70,226,130,1,0.181868743047831,18.1395445134576
0.08-36-0,0.08,36,0,70,226,130,1,0.181868743047831,18.1395445134576
0.08-40-0.85,0.08,40,0.85,39,141,80,1,0.269189189189189,10.0452091767881
0.08-40-0.8,0.08,40,0.8,55,196,113,1,0.216666666666667,11.2717171717172
0.08-40-0.75,0.08,40,0.75,67,224,128,1,0.202840909090909,18.0149253731343
0.08-40-0.7,0.08,40,0.7,70,232,132,1,0.193037974683544,19.9496894409938
0.08-40-0.65,0.08,40,0.65,74,239,138,1,0.188354430379747,21.9357645316549
0.08-40-0.6,0.08,40,0.6,75,247,143,1,0.187314172447968,19.1996396396396
0.08-40-0.55,0.08,40,0.55,75,247,143,1,0.187314172447968,19.1996396396396
0.08-40-0.5,0.08,40,0.5,77,252,148,1,0.183526011560694,20.154989747095
0.08-40-0.45,0.08,40,0.45,77,252,148,1,0.183526011560694,20.154989747095
0.08-40-0.4,0.08,40,0.4,77,252,148,1,0.183526011560694,20.154989747095
0.08-40-0.3,0.08,40,0.3,78,253,149,1,0.181083650190114,21.1143856143856
0.08-40-0.2,0.08,40,0.2,78,253,149,1,0.181083650190114,21.1143856143856
0.08-40-0.1,0.08,40,0.1,78,253,149,1,0.181083650190114,21.1143856143856
0.08-40-0,0.08,40,0,78,253,149,1,0.181083650190114,21.1143856143856
0.08-44-0.85,0.08,44,0.85,42,161,91,1,0.265927977839335,9.13008130081301
0.08-44-0.8,0.08,44,0.8,61,225,132,1,0.213793103448276,11.3601092896175
0.08-44-0.75,0.08,44,0.75,76,260,149,1,0.1978928080623,19.1149122807018
0.08-44-0.7,0.08,44,0.7,80,272,156,1,0.187340696686491,21.0912974683544
0.08-44-0.65,0.08,44,0.65,84,279,162,1,0.183196721311475,23.0738668961561
0.08-44-0.6,0.08,44,0.6,85,287,167,1,0.182293762575453,20.3109243697479
0.08-44-0.55,0.08,44,0.55,85,287,167,1,0.182293762575453,20.3109243697479
0.08-44-0.5,0.08,44,0.5,87,292,172,1,0.179034157832744,21.2658380112269
0.08-44-0.45,0.08,44,0.45,87,292,172,1,0.179034157832744,21.2658380112269
0.08-44-0.4,0.08,44,0.4,87,292,172,1,0.179034157832744,21.2658380112269
0.08-44-0.3,0.08,44,0.3,88,293,173,1,0.176949941792782,22.2284482758621
0.08-44-0.2,0.08,44,0.2,88,293,173,1,0.176949941792782,22.2284482758621
0.08-44-0.1,0.08,44,0.1,88,293,173,1,0.176949941792782,22.2284482758621
0.08-44-0,0.08,44,0,88,293,173,1,0.176949941792782,22.2284482758621
0.08-48-0.85,0.08,48,0.85,46,194,111,1,0.260869565217391,10.0632850241546
0.08-48-0.8,0.08,48,0.8,67,269,157,1,0.201758241758242,12.3165988240615
0.08-48-0.75,0.08,48,0.75,82,311,180,1,0.185688729874776,17.1720867208672
0.08-48-0.7,0.08,48,0.7,87,325,188,1,0.175882744836775,19.147687784015
0.08-48-0.65,0.08,48,0.65,92,335,197,1,0.170825335892514,21.1309125656952
0.08-48-0.6,0.08,48,0.6,93,343,202,1,0.170132325141777,20.2062879850397
0.08-48-0.55,0.08,48,0.55,93,343,202,1,0.170132325141777,20.2062879850397
0.08-48-0.5,0.08,48,0.5,95,348,207,1,0.167437557816836,21.1653975363942
0.08-48-0.45,0.08,48,0.45,95,348,207,1,0.167437557816836,21.1653975363942
0.08-48-0.4,0.08,48,0.4,96,350,208,1,0.165649786455156,21.9678728070175
0.08-48-0.3,0.08,48,0.3,97,351,209,1,0.16404833836858,22.916881443299
0.08-48-0.2,0.08,48,0.2,97,351,209,1,0.16404833836858,22.916881443299
0.08-48-0.1,0.08,48,0.1,97,351,209,1,0.16404833836858,22.916881443299
0.08-48-0,0.08,48,0,97,351,209,1,0.16404833836858,22.916881443299
0.08-52-0.85,0.08,52,0.85,48,213,121,1,0.270142180094787,10.0500886524823
0.08-52-0.8,0.08,52,0.8,69,293,171,1,0.212527964205817,13.2250639386189
0.08-52-0.75,0.08,52,0.75,87,349,204,1,0.190065437239738,17.2016840417001
0.08-52-0.7,0.08,52,0.7,92,363,212,1,0.181258741258741,19.1780936454849
0.08-52-0.65,0.08,52,0.65,97,373,218,1,0.177283816752507,21.1545317869416
0.08-52-0.6,0.08,52,0.6,98,381,223,1,0.176423416198877,20.2223858615611
0.08-52-0.55,0.08,52,0.55,98,381,223,1,0.176423416198877,20.2223858615611
0.08-52-0.5,0.08,52,0.5,100,386,228,1,0.17392444910808,21.1843434343434
0.08-52-0.45,0.08,52,0.45,100,386,228,1,0.17392444910808,21.1843434343434
0.08-52-0.4,0.08,52,0.4,101,388,229,1,0.172342084741357,21.9967326732673
0.08-52-0.3,0.08,52,0.3,102,389,230,1,0.170876288659794,22.947971267715
0.08-52-0.2,0.08,52,0.2,102,389,230,1,0.170876288659794,22.947971267715
0.08-52-0.1,0.08,52,0.1,102,389,230,1,0.170876288659794,22.947971267715
0.08-52-0,0.08,52,0,102,389,230,1,0.170876288659794,22.947971267715
0.08-56-0.85,0.08,56,0.85,54,245,146,1,0.259671179883946,10.1589797344514
0.08-56-0.8,0.08,56,0.8,74,331,202,1,0.210149439601494,13.238430211033
0.08-56-0.75,0.08,56,0.75,93,393,239,1,0.187688442211055,18.1623422159888
0.08-56-0.7,0.08,56,0.7,97,405,246,1,0.181034482758621,19.1826675257732
0.08-56-0.65,0.08,56,0.65,102,416,252,1,0.177126917712692,20.2141331780237
0.08-56-0.6,0.08,56,0.6,103,424,257,1,0.176349024110218,19.2787930706263
0.08-56-0.55,0.08,56,0.55,103,424,257,1,0.176349024110218,19.2787930706263
0.08-56-0.5,0.08,56,0.5,105,429,262,1,0.174040632054176,20.2421245421245
0.08-56-0.45,0.08,56,0.45,105,429,262,1,0.174040632054176,20.2421245421245
0.08-56-0.4,0.08,56,0.4,106,431,263,1,0.172637707120466,21.0721473495058
0.08-56-0.3,0.08,56,0.3,107,432,264,1,0.171295267718285,22.0252160112855
0.08-56-0.2,0.08,56,0.2,107,432,264,1,0.171295267718285,22.0252160112855
0.08-56-0.1,0.08,56,0.1,107,432,264,1,0.171295267718285,22.0252160112855
0.08-56-0,0.08,56,0,107,432,264,1,0.171295267718285,22.0252160112855
0.08-60-0.85,0.08,60,0.85,59,258,154,1,0.247297297297297,12.0128579777908
0.08-60-0.8,0.08,60,0.8,79,344,210,1,0.202296819787986,15.0876338851022
0.08-60-0.75,0.08,60,0.75,98,406,247,1,0.181578947368421,19.9944245739533
0.08-60-0.7,0.08,60,0.7,107,432,264,1,0.174128233970754,25.6941456533239
0.08-60-0.65,0.08,60,0.65,112,443,270,1,0.170454545454545,26.7349581724582
0.08-60-0.6,0.08,60,0.6,113,451,275,1,0.169799092676604,25.8081542351454
0.08-60-0.55,0.08,60,0.55,114,454,276,1,0.168690095846645,25.8228535941624
0.08-60-0.5,0.08,60,0.5,116,459,281,1,0.166527021365731,26.7884557721139
0.08-60-0.45,0.08,60,0.45,116,459,281,1,0.166527021365731,26.7884557721139
0.08-60-0.4,0.08,60,0.4,117,461,282,1,0.16524631053835,27.5877541998232
0.08-60-0.35,0.08,60,0.35,118,462,283,1,0.163951330171169,28.5404896421846
0.08-60-0.3,0.08,60,0.3,119,463,284,1,0.163647591601482,29.4972938327874
0.08-60-0.2,0.08,60,0.2,119,463,284,1,0.163647591601482,29.4972938327874
0.08-60-0.1,0.08,60,0.1,119,463,284,1,0.163647591601482,29.4972938327874
0.08-60-0,0.08,60,0,119,463,284,1,0.163647591601482,29.4972938327874
0.09-4-0.85,0.09,4,0.85,3,9,5,1,1,1
0.09-4-0.75,0.09,4,0.75,6,14,8,1,0.5,3.06666666666667
0.09-4-0,0.09,4,0,6,14,8,1,0.5,3.06666666666667
0.09-8-0.75,0.09,8,0.75,11,20,12,1,0.214285714285714,7.56363636363636
0.09-8-0.65,0.09,8,0.65,12,22,14,1,0.236842105263158,7.73484848484848
0.09-8-0,0.09,8,0,12,22,14,1,0.236842105263158,7.73484848484848
0.09-12-0.85,0.09,12,0.85,12,39,26,1,0.485714285714286,3.62878787878788
0.09-12-0.8,0.09,12,0.8,14,43,30,1,0.421487603305785,5.43406593406593
0.09-12-0.75,0.09,12,0.75,22,57,42,1,0.307317073170732,11.1103896103896
0.09-12-0.65,0.09,12,0.65,23,59,44,1,0.2882096069869,12.0573122529644
0.09-12-0,0.09,12,0,23,59,44,1,0.2882096069869,12.0573122529644
0.09-16-0.8,0.09,16,0.8,15,48,35,1,0.401408450704225,5.50952380952381
0.09-16-0.75,0.09,16,0.75,26,70,52,1,0.273615635179153,10.4861538461538
0.09-16-0.7,0.09,16,0.7,27,72,54,1,0.258928571428571,11.4230769230769
0.09-16-0.65,0.09,16,0.65,27,72,54,1,0.258928571428571,11.4230769230769
0.09-16-0.5,0.09,16,0.5,27,72,54,1,0.258928571428571,11.4230769230769
0.09-16-0,0.09,16,0,28,73,55,1,0.25,12.3783068783069
0.09-20-0.8,0.09,20,0.8,17,57,44,1,0.391304347826087,5.59191176470588
0.09-20-0.75,0.09,20,0.75,28,79,61,1,0.274238227146814,10.5542328042328
0.09-20-0.7,0.09,20,0.7,29,81,63,1,0.260204081632653,11.493842364532
0.09-20-0.65,0.09,20,0.65,30,82,64,1,0.251851851851852,12.4494252873563
0.09-20-0.5,0.09,20,0.5,31,84,66,1,0.25,13.3268817204301
0.09-20-0.4,0.09,20,0.4,32,85,67,1,0.241706161137441,14.289314516129
0.09-20-0,0.09,20,0,33,86,68,1,0.233409610983982,15.2537878787879
0.09-24-0.85,0.09,24,0.85,22,79,46,1,0.356521739130435,5.88961038961039
0.09-24-0.8,0.09,24,0.8,26,96,60,1,0.34304932735426,7.66
0.09-24-0.75,0.09,24,0.75,36,116,72,1,0.272727272727273,12.6055555555556
0.09-24-0.7,0.09,24,0.7,37,119,74,1,0.2625,13.5533033033033
0.09-24-0.65,0.09,24,0.65,39,123,78,1,0.253968253968254,14.5937921727395
0.09-24-0.5,0.09,24,0.5,40,128,81,1,0.253246753246753,15.2942307692308
0.09-24-0.45,0.09,24,0.45,41,129,82,1,0.24746192893401,16.2634146341463
0.09-24-0.4,0.09,24,0.4,41,129,82,1,0.24746192893401,16.2634146341463
0.09-24-0.2,0.09,24,0.2,42,130,83,1,0.241635687732342,17.2340301974448
0.09-24-0,0.09,24,0,42,130,83,1,0.241635687732342,17.2340301974448
0.09-28-0.85,0.09,28,0.85,28,99,51,1,0.319391634980989,9.58730158730159
0.09-28-0.8,0.09,28,0.8,39,130,71,1,0.27877947295423,14.4547908232119
0.09-28-0.75,0.09,28,0.75,50,159,86,1,0.242540904716073,15.9689795918367
0.09-28-0.7,0.09,28,0.7,51,162,88,1,0.235186873290793,16.921568627451
0.09-28-0.65,0.09,28,0.65,53,166,92,1,0.229148375768218,17.9368650217707
0.09-28-0.6,0.09,28,0.6,54,172,95,1,0.226999140154772,18.6666666666667
0.09-28-0.5,0.09,28,0.5,54,172,95,1,0.226999140154772,18.6666666666667
0.09-28-0.45,0.09,28,0.45,55,173,96,1,0.223161453930685,19.6360269360269
0.09-28-0.4,0.09,28,0.4,55,173,96,1,0.223161453930685,19.6360269360269
0.09-28-0.2,0.09,28,0.2,56,174,97,1,0.219269102990033,20.6064935064935
0.09-28-0,0.09,28,0,56,174,97,1,0.219269102990033,20.6064935064935
0.09-32-0.85,0.09,32,0.85,29,102,53,1,0.313513513513514,9.63177339901478
0.09-32-0.8,0.09,32,0.8,42,141,78,1,0.262135922330097,15.1951219512195
0.09-32-0.75,0.09,32,0.75,56,178,98,1,0.218051118210863,17.7243506493507
0.09-32-0.7,0.09,32,0.7,57,181,100,1,0.212328767123288,18.6694862155388
0.09-32-0.65,0.09,32,0.65,59,185,104,1,0.207200587803086,19.6756282875511
0.09-32-0.6,0.09,32,0.6,60,191,107,1,0.205479452054795,20.4194915254237
0.09-32-0.5,0.09,32,0.5,60,191,107,1,0.205479452054795,20.4194915254237
0.09-32-0.45,0.09,32,0.45,61,192,108,1,0.202127659574468,21.3795081967213
0.09-32-0.4,0.09,32,0.4,61,192,108,1,0.202127659574468,21.3795081967213
0.09-32-0.2,0.09,32,0.2,62,193,109,1,0.198744769874477,22.3408249603384
0.09-32-0,0.09,32,0,62,193,109,1,0.198744769874477,22.3408249603384
0.09-36-0.8,0.09,36,0.8,47,169,96,1,0.24032403240324,9.31128584643848
0.09-36-0.75,0.09,36,0.75,61,206,116,1,0.20532319391635,14.1887978142076
0.09-36-0.7,0.09,36,0.7,64,212,120,1,0.196897374701671,17.0416666666667
0.09-36-0.65,0.09,36,0.65,66,217,125,1,0.193325661680092,17.0997668997669
0.09-36-0.6,0.09,36,0.6,67,225,130,1,0.192350956130484,15.2668475802804
0.09-36-0.5,0.09,36,0.5,67,225,130,1,0.192350956130484,15.2668475802804
0.09-36-0.45,0.09,36,0.45,68,226,131,1,0.189578713968958,16.2192712906058
0.09-36-0.4,0.09,36,0.4,68,226,131,1,0.189578713968958,16.2192712906058
0.09-36-0.2,0.09,36,0.2,69,227,132,1,0.186783178590934,17.1730605285593
0.09-36-0.1,0.09,36,0.1,69,227,132,1,0.186783178590934,17.1730605285593
0.09-36-0,0.09,36,0,69,227,132,1,0.186783178590934,17.1730605285593
0.09-40-0.8,0.09,40,0.8,50,182,105,1,0.23463687150838,9.35428571428571
0.09-40-0.75,0.09,40,0.75,66,224,130,1,0.204313280363224,16.1191142191142
0.09-40-0.7,0.09,40,0.7,70,235,138,1,0.194210526315789,19.0267080745342
0.09-40-0.65,0.09,40,0.65,73,241,144,1,0.189969604863222,20.0454718417047
0.09-40-0.6,0.09,40,0.6,74,249,149,1,0.188894397620228,17.3102554609404
0.09-40-0.5,0.09,40,0.5,74,249,149,1,0.188894397620228,17.3102554609404
0.09-40-0.45,0.09,40,0.45,75,250,150,1,0.186490455212922,18.2663063063063
0.09-40-0.4,0.09,40,0.4,75,250,150,1,0.186490455212922,18.2663063063063
0.09-40-0.2,0.09,40,0.2,76,251,151,1,0.184057971014493,19.2235087719298
0.09-40-0.1,0.09,40,0.1,76,251,151,1,0.184057971014493,19.2235087719298
0.09-40-0,0.09,40,0,76,251,151,1,0.184057971014493,19.2235087719298
0.09-44-0.8,0.09,44,0.8,60,250,145,1,0.219289340101523,9.42966101694915
0.09-44-0.75,0.09,44,0.75,77,301,173,1,0.193186072631973,14.3737183868763
0.09-44-0.7,0.09,44,0.7,83,316,183,1,0.183780020884093,17.3297090802233
0.09-44-0.65,0.09,44,0.65,87,325,192,1,0.178774690324741,18.3588612670409
0.09-44-0.6,0.09,44,0.6,88,333,197,1,0.177924217462932,17.4254179728318
0.09-44-0.5,0.09,44,0.5,88,333,197,1,0.177924217462932,17.4254179728318
0.09-44-0.45,0.09,44,0.45,89,334,198,1,0.176182707993475,18.3868743615935
0.09-44-0.4,0.09,44,0.4,90,336,199,1,0.174249757986447,19.1956304619226
0.09-44-0.2,0.09,44,0.2,91,337,200,1,0.172523961661342,20.1496947496947
0.09-44-0.1,0.09,44,0.1,91,337,200,1,0.172523961661342,20.1496947496947
0.09-44-0,0.09,44,0,91,337,200,1,0.172523961661342,20.1496947496947
0.09-48-0.8,0.09,48,0.8,62,254,148,1,0.213971665852467,11.3172924378636
0.09-48-0.75,0.09,48,0.75,81,317,186,1,0.185794261721484,16.1865740740741
0.09-48-0.7,0.09,48,0.7,87,332,196,1,0.177219321148825,19.1232290831329
0.09-48-0.65,0.09,48,0.65,92,344,205,1,0.172046380445002,20.1715241280459
0.09-48-0.6,0.09,48,0.6,93,352,210,1,0.171243443381672,19.2448574100047
0.09-48-0.5,0.09,48,0.5,93,352,210,1,0.171243443381672,19.2448574100047
0.09-48-0.45,0.09,48,0.45,94,353,211,1,0.169672882910425,20.1999542438801
0.09-48-0.4,0.09,48,0.4,95,355,212,1,0.167927382753404,21.0101903695409
0.09-48-0.2,0.09,48,0.2,96,356,213,1,0.16636690647482,21.9584429824561
0.09-48-0.1,0.09,48,0.1,96,356,213,1,0.16636690647482,21.9584429824561
0.09-48-0,0.09,48,0,96,356,213,1,0.16636690647482,21.9584429824561
0.09-52-0.85,0.09,52,0.85,46,202,115,1,0.263935527199463,9.96570048309179
0.09-52-0.8,0.09,52,0.8,68,301,182,1,0.216276477146042,11.3048726953468
0.09-52-0.75,0.09,52,0.75,88,369,223,1,0.188494833845295,16.2268808777429
0.09-52-0.7,0.09,52,0.7,93,384,234,1,0.180237154150198,18.2059373539037
0.09-52-0.65,0.09,52,0.65,97,393,240,1,0.176741803278689,19.2207903780069
0.09-52-0.6,0.09,52,0.6,98,401,245,1,0.175935288169869,18.2875026299179
0.09-52-0.5,0.09,52,0.5,98,401,245,1,0.175935288169869,18.2875026299179
0.09-52-0.45,0.09,52,0.45,99,402,246,1,0.174523570712136,19.2445887445887
0.09-52-0.4,0.09,52,0.4,100,404,247,1,0.1730482347091,20.0742424242424
0.09-52-0.2,0.09,52,0.2,101,405,248,1,0.171639950678175,21.0245544554455
0.09-52-0.1,0.09,52,0.1,101,405,248,1,0.171639950678175,21.0245544554455
0.09-52-0,0.09,52,0,101,405,248,1,0.171639950678175,21.0245544554455
0.09-56-0.85,0.09,56,0.85,48,215,126,1,0.259940652818991,9.97872340425532
0.09-56-0.8,0.09,56,0.8,71,321,195,1,0.217333774396295,11.3144869215292
0.09-56-0.75,0.09,56,0.75,90,386,236,1,0.192327497425335,16.2287141073658
0.09-56-0.7,0.09,56,0.7,96,402,248,1,0.183450618781849,19.1722587719298
0.09-56-0.65,0.09,56,0.65,100,411,254,1,0.180014174344437,20.1876767676768
0.09-56-0.6,0.09,56,0.6,101,419,259,1,0.179188054129725,19.2534653465347
0.09-56-0.5,0.09,56,0.5,101,419,259,1,0.179188054129725,19.2534653465347
0.09-56-0.45,0.09,56,0.45,102,420,260,1,0.177818939569345,20.2120947388857
0.09-56-0.4,0.09,56,0.4,103,422,261,1,0.176389526871842,21.0374071958881
0.09-56-0.2,0.09,56,0.2,104,423,262,1,0.175022789425706,21.9894510828977
0.09-56-0.1,0.09,56,0.1,104,423,262,1,0.175022789425706,21.9894510828977
0.09-56-0,0.09,56,0,104,423,262,1,0.175022789425706,21.9894510828977
0.09-60-0.85,0.09,60,0.85,49,219,130,1,0.253424657534247,10.0034013605442
0.09-60-0.8,0.09,60,0.8,75,333,204,1,0.206261510128913,11.3718918918919
0.09-60-0.75,0.09,60,0.75,95,399,245,1,0.183747287195563,17.2518477043673
