feature_ratio,no_tfs,no_tfs_actual,method,CTRL,TRTMT,TRTMT_CTRL
0.18,16,16,Netact,13,3,0.230769230769231
0.18,20,20,Netact,16,4,0.25
0.18,24,24,Netact,18,6,0.333333333333333
0.18,28,28,Netact,21,7,0.333333333333333
0.18,32,32,Netact,24,8,0.333333333333333
0.18,36,36,Netact,25,10,0.4
0.18,40,40,Netact,28,11,0.392857142857143
0.18,44,44,Netact,31,12,0.387096774193548
0.18,48,48,Netact,35,12,0.342857142857143
0.18,52,52,Netact,38,13,0.342105263157895
0.18,56,56,Netact,40,14,0.35
0.18,60,60,Netact,43,15,0.348837209302326
0.2,4,4,Netact,4,0,0
0.2,8,8,Netact,7,1,0.142857142857143
0.2,12,12,Netact,11,1,0.0909090909090909
0.2,16,16,Netact,13,3,0.230769230769231
0.2,20,20,Netact,16,4,0.25
0.2,24,24,Netact,18,6,0.333333333333333
0.2,28,28,Netact,21,7,0.333333333333333
0.2,32,32,Netact,24,8,0.333333333333333
0.2,36,36,Netact,25,10,0.4
0.2,40,40,Netact,28,11,0.392857142857143
0.2,44,44,Netact,31,12,0.387096774193548
0.2,48,48,Netact,35,12,0.342857142857143
0.2,52,52,Netact,38,13,0.342105263157895
0.2,56,56,Netact,40,14,0.35
0.2,60,60,Netact,43,15,0.348837209302326
