feature_ratio,no_tfs,no_tfs_actual,method,CTRL,TRTMT,TRTMT_CTRL
0.14,48,48,MARINa,38,10,0.263157894736842
0.14,52,52,MARINa,41,11,0.268292682926829
0.14,56,56,MARINa,43,13,0.302325581395349
0.14,60,60,MARINa,43,17,0.395348837209302
0.16,4,4,MARINa,4,0,0
0.16,8,8,MARINa,7,1,0.142857142857143
0.16,12,12,MARINa,11,1,0.0909090909090909
0.16,16,16,MARINa,14,2,0.142857142857143
0.16,20,20,MARINa,16,4,0.25
0.16,24,24,MARINa,19,5,0.263157894736842
0.16,28,28,MARINa,22,6,0.272727272727273
0.16,32,32,MARINa,25,7,0.28
0.16,36,36,MARINa,28,8,0.285714285714286
0.16,40,40,MARINa,30,10,0.333333333333333
0.16,44,44,MARINa,34,10,0.294117647058824
0.16,48,48,MARINa,38,10,0.263157894736842
0.16,52,52,MARINa,41,11,0.268292682926829
0.16,56,56,MARINa,42,14,0.333333333333333
0.16,60,60,MARINa,43,17,0.395348837209302
0.18,4,4,MARINa,4,0,0
0.18,8,8,MARINa,7,1,0.142857142857143
0.18,12,12,MARINa,11,1,0.0909090909090909
0.18,16,16,MARINa,14,2,0.142857142857143
0.18,20,20,MARINa,16,4,0.25
0.18,24,24,MARINa,19,5,0.263157894736842
0.18,28,28,MARINa,22,6,0.272727272727273
0.18,32,32,MARINa,25,7,0.28
0.18,36,36,MARINa,28,8,0.285714285714286
0.18,40,40,MARINa,30,10,0.333333333333333
0.18,44,44,MARINa,34,10,0.294117647058824
0.18,48,48,MARINa,38,10,0.263157894736842
0.18,52,52,MARINa,41,11,0.268292682926829
0.18,56,56,MARINa,42,14,0.333333333333333
0.18,60,60,MARINa,43,17,0.395348837209302
0.2,4,4,MARINa,4,0,0
0.2,8,8,MARINa,7,1,0.142857142857143
0.2,12,12,MARINa,11,1,0.0909090909090909
0.2,16,16,MARINa,14,2,0.142857142857143
0.2,20,20,MARINa,16,4,0.25
0.2,24,24,MARINa,19,5,0.263157894736842
0.2,28,28,MARINa,22,6,0.272727272727273
0.2,32,32,MARINa,25,7,0.28
0.2,36,36,MARINa,28,8,0.285714285714286
0.2,40,40,MARINa,30,10,0.333333333333333
0.2,44,44,MARINa,34,10,0.294117647058824
0.2,48,48,MARINa,38,10,0.263157894736842
0.2,52,52,MARINa,41,11,0.268292682926829
0.2,56,56,MARINa,42,14,0.333333333333333
0.2,60,60,MARINa,43,17,0.395348837209302
