feature_ratio,no_tfs,no_tfs_actual,method,CTRL,TRTMT,TRTMT_CTRL
0.2,16,46,COMB,39,7,0.179487179487179
0.2,20,57,COMB,43,14,0.325581395348837
0.2,24,67,COMB,48,19,0.395833333333333
0.2,28,76,COMB,54,22,0.407407407407407
0.2,32,85,COMB,60,25,0.416666666666667
0.2,36,96,COMB,64,31,0.484375
0.2,40,106,COMB,71,34,0.47887323943662
0.2,44,113,COMB,75,37,0.493333333333333
0.2,48,120,COMB,80,39,0.4875
0.2,52,125,COMB,83,41,0.493975903614458
0.2,56,133,COMB,87,44,0.505747126436782
0.2,60,143,COMB,93,48,0.516129032258065
