,FeatureRatio,TopTFs,AbsCor,Nodes,Interactions,PosInt,Connected,Transitivity,MeanDistance,DupStatus,SimIdx,ClusterA,ClusterB,Accuracy,Accuracy_sd,KLdist,ClusterA2,ClusterB2,AvgDist,flexibility,maxSigval.Netact,maxSigval.MARINa,minSigval.RI
0.12-56-0.75,0.12,56,0.75, 94,397,243,1,0.184,16.29,FALSE,0.12-56-0.75,0.1388,0.7124,0.861,0.00573,0.347,-0.184, 3.62e-01,0.00832,0.0149,0.1292,0.15658,0.000173
0.2-52-0.8,0.20,52,0.80, 68,311,191,1,0.219, 9.51,FALSE,0.2-52-0.8,0.1537,0.6996,0.850,0.00687,0.319,-0.188, 3.43e-01,0.00927,0.0148,0.1256,0.15658,0.000144
0.09-56-0.8,0.09,56,0.80, 71,321,195,1,0.217,11.31,FALSE,0.09-56-0.8,0.1529,0.7099,0.860,0.00526,0.315,-0.188, 3.58e-01,0.00903,0.0140,0.1292,0.12388,0.000197
0.18-56-0.8,0.18,56,0.80, 71,320,194,1,0.215,10.50,FALSE,0.18-56-0.8,0.1453,0.6898,0.839,0.00632,0.347,-0.186, 3.28e-01,0.00900,0.0147,0.1292,0.24511,0.000142
0.14-56-0.8,0.14,56,0.80, 73,322,194,1,0.216,11.39,FALSE,0.14-56-0.8,0.1530,0.6952,0.849,0.00619,0.324,-0.188, 3.36e-01,0.00879,0.0146,0.1292,0.15658,0.000173
0.14-56-0,0.14,56,0.00,104,412,254,1,0.172,22.11,FALSE,0.14-56-0,0.1340,0.7330,0.868,0.00384,0.347,-0.183, 3.93e-01,0.00799,0.0131,0.1357,0.15658,0.000173
0.2-60-0.8,0.20,60,0.80, 81,366,224,1,0.203, 9.77,FALSE,0.2-60-0.8,0.1616,0.6924,0.851,0.00490,0.306,-0.190, 3.32e-01,0.00854,0.0144,0.1535,0.30966,0.000114
0.09-60-0.85,0.09,60,0.85, 49,219,130,1,0.253,10.00,FALSE,0.09-60-0.85,0.1563,0.6962,0.861,0.00619,0.316,-0.189, 3.38e-01,0.00989,0.0143,0.1475,0.12912,0.000182
0.12-60-0.7,0.12,60,0.70,101,416,257,1,0.175,19.24,FALSE,0.12-60-0.7,0.1366,0.7225,0.864,0.00475,0.347,-0.184, 3.77e-01,0.00804,0.0136,0.1481,0.24511,0.000147
0.2-60-0.7,0.20,60,0.70,104,429,261,1,0.174,18.67,FALSE,0.2-60-0.7,0.1563,0.7026,0.859,0.00458,0.312,-0.189, 3.47e-01,0.00775,0.0132,0.1535,0.30966,0.000114
0.2-56-0.3,0.20,56,0.30,107,416,254,1,0.168,21.59,FALSE,0.2-56-0.3,0.1471,0.7115,0.865,0.00497,0.328,-0.187, 3.61e-01,0.00800,0.0128,0.1357,0.24511,0.000137
