,nodes,avg.rank.samples,avg.rank.bg
0.09-32-0.85,29.00, 7.80, 7.33
0.07-32-0.75,52.00, 5.72, 9.59
0.07-32-0,58.00, 6.52, 9.87
0.08-28-0.55,53.00, 6.53,10.62
0.16-28-0.85,22.00,10.19,11.47
0.08-32-0.4,61.00, 8.11,13.63
0.06-32-0.25,60.00, 8.10,14.47
0.07-36-0.85,32.00,13.17,14.94
0.08-28-0.85,32.00,13.98,15.98
0.06-56-0.85,45.00, 8.34,16.17
